,hotel_name,id,hotel_price,hotel_nreview,hotel_one_review,hotel_rating,great_for_walker_rating,restaurants_nearby,nearby_attractions,ranking,description,location_rating,cleanliness_rating,service_rating,value_rating,QA_number,room_tips_number
10,The Whitney Hotel Boston,property_17581985,395,93,"Located in Beacon Hill, this lovely high-end hotel features breakfast, a fitness center and a concierge.",5.0,100.0,54.0,17.0,#3 of 96 hotels in Boston,"BEACON HILL’S NEWEST GEM. NOW OPEN. This summer, experience The Whitney Hotel, an unexpected find in Boston’s beloved Beacon Hill. The Whitney is a luxury boutique hotel reflecting the residential charm of our surrounding neighborhood. The Whitney balances the vibrancy of the city with our idyllic location, giving you easy access to the city's best attractions while also offering an escape from the hustle. Retreat to one of our 65 guestrooms, where you will be greeted with generous hospitality and cultured comforts. Explore our lush courtyard garden, enjoy savory Mediterranean cuisine at Peregrine, and indulge in our sophisticated amenities. We have everything you need to feel at home during your time in Boston.",5.0,5.0,5.0,4.5,3.0,15.0
11,Courtyard Boston Downtown/North Station,property_13403186,291,372,"Located in West End, this enchanting business-friendly hotel with contemporary city-view rooms offers evening entertainment, fitness classes and breakfast.",5.0,100.0,135.0,30.0,#7 of 96 hotels in Boston,"To all of our guests we wish you safety, comfort and health during this difficult time. The Courtyard Boston Downtown North Station is ready and waiting to serve visitors to Boston and look forward to hosting your stay. Stay safe and be well. #lovefromboston",5.0,5.0,4.5,4.5,21.0,57.0
12,Courtyard Boston Copley Square,property_313573,370,2106,"Located in Back Bay, this lovely business-friendly hotel offers stately rooms, breakfast and a fitness center.",4.5,100.0,166.0,60.0,#12 of 96 hotels in Boston,"In the midst of the Coronavirus (COVID-19) concerns, we would like to assure you that Courtyard Boston Copley Square places the highest priority on the health and safety of our guests and associates. 

The CDC recommends everyday preventive actions to help prevent the spread of respiratory illnesses like coronavirus/COVID-19. Recommendations include staying home when sick, washing hands often with soap and water for at least 20 seconds, following proper respiratory cough etiquette, avoiding close contact with people who are sick and avoiding touching eyes, nose, and mouth with unwashed hands.
 
We will also ask that every employee, guest and visitor abide by local regulations in place regarding the use of masks while you are inside the hotel and to abide by social distancing practices of at least 6 ft.  

We appreciate your business and loyalty to Courtyard Boston Copley Square. Our entire team is working hard to provide a safe environment for all to ensure the overall health &amp; safety.",5.0,4.5,4.5,4.5,41.0,100.0
13,Lenox Hotel,property_114134,295,3794,"Spacious casual rooms in a charming family-friendly hotel located in Back Bay offering bike rentals, a fitness center and a restaurant.",4.5,100.0,158.0,60.0,#8 of 96 hotels in Boston,"The health and well-being of our guests and employees are of the greatest importance to us. We are carefully monitoring the COVID-19 situation and are collaborating with city and state officials to stay fully informed. In addition to our always diligent housekeeping, we have proactively implemented extra resources and sanitary procedures as preemptive measures.

For more detailed information on what to expect, please visit our website directly at <a data-encoded-url=""ZGxCX2h0dHBzOi8vd3d3Lmxlbm94aG90ZWwuY29tL2hvdGVsLXNlcnZpY2VzLWR1cmluZy1jb3ZpZC0xOS9fdVNQ"" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""https://www.lenoxhotel.com/hotel-services-during-covid-19/"">https://www.lenoxhotel.com/hotel-services-during-covid-19/</a>",5.0,5.0,5.0,4.5,47.0,100.0
14,Hyatt Centric Faneuil Hall Boston,property_15161474,280,216,"Contemporary rooms in a modern business-friendly hotel located in Downtown offering a fitness center, a concierge and breakfast.",4.5,100.0,342.0,106.0,#17 of 96 hotels in Boston,"Vibrant and Alive! Stay in the heart of one of America’s most celebrated cities and let Hyatt Centric Faneuil Hall Boston provide an uncomplicated travel experience for you, the modern-day explorer. Discover all that Boston offers from our central Downtown location. Your just steps away from historical landmarks, neighborhoods and major businesses including the Financial District, Freedom Trail, Post Office Square, Government Center, Faneuil Hall, Beacon Hill, Seaport, North End and the Theatre District.",5.0,5.0,4.5,4.0,2.0,11.0
15,Residence Inn Boston Downtown/Seaport,property_4232689,424,600,"Airy chic rooms in a lovely mid-range hotel located in Seaport District featuring free internet, free breakfast and a fitness center.",4.5,100.0,80.0,14.0,#20 of 96 hotels in Boston,"We are committed to offering an environment that aligns with expert protocols for working to defeat COVID-19. Consisting of in-house and outside experts in food and water safety, hygiene and infection prevention, and hotel operations, our Marriott Cleanliness Council is redefining our cleaning and safety standards. Starting with our public spaces and high-traffic areas, Marriott is going above and beyond our normal protocols. We are cleaning surfaces with increased frequency, dedicated staff, and recommended cleaning agents. Marriott has elevated our rigorous protocols to thoroughly clean all surfaces with hospital-grade disinfectants. We will be placing disinfectant wipes in rooms. Hand sanitizing stations are being installed at hotel entrances, at our front desks, our elevator banks, and meeting spaces. Signage in public spaces will remind Marriott guests to maintain social distancing. Read more about Marriott’s Commitment to Clean by visiting <a data-encoded-url=""SzNkX2h0dHBzOi8vY2xlYW4ubWFycmlvdHQuY29tLy5feEJp"" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""https://clean.marriott.com/."">https://clean.marriott.com/.</a>",4.5,5.0,4.5,4.0,21.0,100.0
16,Jared Coffin House,property_144524,155,299,"Magnificent contemporary rooms in a charming mid-priced hotel with bbq facilities, beach access and a restaurant.",4.0,100.0,60.0,44.0,#11 of 13 hotels in Nantucket,"The Main House of this historic hotel dates back to 1845 and was the home of an affluent whaling captain. Today, this historic hotel welcomes guests to the Main House and directly next door, to the Daniel Webster House. Guests will find modern amenities with the newly refurbished library/parlor--where complimentary continental breakfast is served each morning. All rooms are air-conditioned. Free Wi-Fi is available in the rooms and throughout the hotel. Guest rooms have been updated with stunning traditional-style furniture. With the hotel's superb location, just steps from boutiques and excellent restaurants, guests enjoy wandering the cobblestone streets or visiting the many nearby museums and beaches.",5.0,4.5,4.5,3.5,3.0,64.0
17,Hilton Garden Inn Boston Logan Airport,property_8142646,229,1404,"Located in Harbor View, this welcoming family-friendly hotel with contemporary rooms offers a fitness center, beach access and a restaurant.",4.5,58.0,27.0,5.0,#22 of 96 hotels in Boston,"A Cleaner Stay from Check-in to Check-Out
Hilton has partnered with RB, makers of Lysol® &amp; Dettol®*, to help deliver an even cleaner stay for our guests with the Hilton CleanStay program. Building on our already rigorous cleaning standards, the program includes:

-Hilton CleanStay Room Seal&nbsp;to indicate that&nbsp;guest rooms haven’t been accessed&nbsp;since they were cleaned
-Extra disinfection of top 10&nbsp;high&nbsp;touch&nbsp;areas in&nbsp;guest&nbsp;rooms&nbsp;including light switches and door handles
-Increased&nbsp;cleaning&nbsp;frequency of&nbsp;public&nbsp;areas&nbsp;and fitness&nbsp;centers
-Guest-accessible disinfecting wipes&nbsp;at entrances and high traffic areas
-Enhanced cleaning &amp; other changes to&nbsp;buffets, in-room dining and meeting spaces
-Industry-leading&nbsp;contactless check-in and check-out with Digital Key&nbsp;at more than 4,700 properties globally

Our promise is to deliver the same level of reliable and friendly service you’d expect from Hilton, but with the added confidence of industry-leading hygiene practices created to keep you safe.",4.5,5.0,4.5,4.5,42.0,100.0
18,Hampton Inn Boston / Cambridge,property_253110,242,1371,"Metropolitan business-friendly hotel offering elegant contemporary rooms with free internet, a breakfast buffet and a fitness center.",4.0,87.0,131.0,15.0,#15 of 21 hotels in Cambridge,"A Cleaner Stay from Check-in to Check-Out
Hilton has partnered with RB, makers of Lysol® &amp; Dettol®*, to help deliver an even cleaner stay for our guests with the Hilton CleanStay program. Building on our already rigorous cleaning standards, the program includes:

-Hilton CleanStay Room Seal&nbsp;to indicate that&nbsp;guest rooms haven’t been accessed&nbsp;since they were cleaned
-Extra disinfection of top 10&nbsp;high&nbsp;touch&nbsp;areas in&nbsp;guest&nbsp;rooms&nbsp;including light switches and door handles
-Increased&nbsp;cleaning&nbsp;frequency of&nbsp;public&nbsp;areas&nbsp;and fitness&nbsp;centers
-Guest-accessible disinfecting wipes&nbsp;at entrances and high traffic areas
-Enhanced cleaning &amp; other changes to&nbsp;buffets, in-room dining and meeting spaces
-Industry-leading&nbsp;contactless check-in and check-out with Digital Key&nbsp;at more than 4,700 properties globally

Our promise is to deliver the same level of reliable and friendly service you’d expect from Hilton, but with the added confidence of industry-leading hygiene practices created to keep you safe.",4.0,4.5,4.5,4.0,22.0,100.0
19,Beechwood Hotel,property_94324,147,579,"Pleasant business-friendly hotel offering contemporary rooms, a breakfast buffet and a fitness center.",4.5,50.0,21.0,1.0,#1 of 10 hotels in Worcester,"In the heart of the Commonwealth sits Central Massachusetts’s only AAA Four Diamond rated property, the Beechwood Hotel, a proud member of the Preferred Hotels &amp; Resorts Connect Collection. Artful and luxurious, this is an ideal location for both leisure and business travel. The boutique hotel features museum-quality art including century-old travel, music, and theatre themed lithographs, historical stained glass pieces, distinctive architecture, and a black walnut fireplace that formerly resided in a 1800s-era New England homestead. Savor fine dining at the renowned DiRōNA Awarded Sonoma Restaurant, recognized for dining excellence by the Distinguished Restaurants of North America. Fifty-two European-inspired deluxe guestrooms and 21 elegantly appointed suites equipped with luxurious amenities invite you to rest and rejuvenate in serene surroundings. Plantation shutters, a neutral color palate and high-end touches like granite countertops lend to upscale simplicity. Rest by a crackling hearth in one of the Beechwood’s Fireplace Suites or treat yourself to the ultimate experience with our Presidential Suite. If you’re planning a gathering or celebration, the Beechwood boasts over 8,000 square feet of flexible meeting and event space. Our distinguished Grand Ballroom accommodates up to 250 guests and is home to our Maria Gill Wilson Room, a historic chapel featuring breathtaking stained glass windows, a soaring cathedral ceiling with hand-carved wooden beams, and elegant pendant lighting. The Beechwood is well-known for its impeccable service, award-winning cuisine, luxurious accommodations, and professional event planners. Located minutes from downtown Worcester and adjacent to Massachusetts Biotechnology Research Park, the Beechwood Hotel is right in the middle of everything. From the DCU Center to UMASS Medical School and popular area attractions, you’ll find all you need right around the corner. Carefree accessibility is made easy with Rt-290 bisecting the city. Those commuting in and out of Worcester have access to several major highways to the north, south, east, and west. Air travel is made seamless with the Worcester Regional Airport providing daily flights to Philadelphia, Orlando, New York City, and Fort Lauderdale. Boston Logan International Airport and the T.F. Green Airport are also nearby. Although there is plenty to do right in the heart of Worcester, visitors who want a taste of Boston can take the train out of Union Station, a beautifully restored historic building marked by two white marble towers. The Beechwood Hotel takes pride in being like nothing you expect and everything you deserve, and this shows in every facet of your experience. From the unsurpassed ambiance of Sonoma Restaurant to chic room furnishings, the Beechwood Hotel provides a distinct level of luxury for your home away from home. The Beechwood Hotel offers amazing amenities to enhance your stay and ensure that your experience exceeds your expectations.",4.5,4.5,4.5,4.5,3.0,88.0
